Earnings Bracket,Salary
"$100,000 - $110,000",84287
"$110,000 - $120,000",40532
"$120,000 - $130,000",24917
"$130,000 - $140,000",16824
"$140,000 - $150,000",9852
"$150,000 - $160,000",6588
"$160,000 - $170,000",5025
"$170,000 - $180,000",3799
"$180,000 - $190,000",3039
"$190,000 - $200,000",2282
"$200,000 - $210,000",1723
"$210,000 - $220,000",1226
"$220,000 - $230,000",1570
"$230,000 - $240,000",681
"$240,000 - $250,000",521
"$250,000 - $260,000",343
"$260,000 - $270,000",291
"$270,000 - $280,000",270
"$280,000 - $290,000",211
"$290,000 - $300,000",195
"$300,000 - $310,000",148
"$310,000 - $320,000",481
"$320,000 - $1,300,000",914
